Gigabyte,GIGABYTE GEFORCE RTX 3070 TI GAMING OC 8GB GDDR6X,91500
Gigabyte,GIGABYTE RADEON RX 6900 XT GAMING OC 16GB GDDR6,159400
MSI,MSI GEFORCE RTX 3080 TI VENTUS 3X 12GB OC GDDR6X,153500
Zotac,ZOTAC GEFORCE GT 710 2GB DDR3 ZONE EDITION,3350
Zotac,ZOTAC GEFORCE GT 730 4GB DDR3 ZONE EDITION,3350
GeForce,COLORFUL GeForce GT 1030 4GB DDR4 RAM GRAPHICS CARD WITH SINGLE FAN ( GT1030 4G-V ),8850
Nvidia,ASUS ROG Strix NVIDIA GeForce RTX 3080 Ti OC EDITION GAMING GRAPHICS CARD,190000
Nvidia,NVIDIA Quadro RTX 4000 8GB DDR6 256 bit GRAPHICS CARD,73000
AMD,AMD Radeon RX 6900 XT,6900
AMD,AMD RadeoN RX 6700 XT Graphics,9900
